epoch,lr,step,train_loss,train_energy_mae,train_energy_mse,train_energy_per_atom_mae,train_energy_per_atom_mse,train_gradient_force_mae,train_gradient_force_mse,val_loss,val_energy_mae,val_energy_mse,val_energy_per_atom_mae,val_energy_per_atom_mse,val_gradient_force_mae,val_gradient_force_mse,test_loss,test_energy_mae,test_energy_mse,test_energy_per_atom_mae,test_energy_per_atom_mse,test_gradient_force_mae,test_gradient_force_mse,best_model
0,0.0001,7270.0,65.07820090600386,0.4018560789284469,0.3295935442092712,0.030304243886084607,0.0019205464657602695,0.13862712985004977,1.2949721472358937,2.2847230322135608,0.3939893832442282,0.24253409167263082,0.02743990718532389,0.0014106229737321893,0.10389566826122815,0.04084377881081859,2.6266017233701815,0.37447932476284407,0.22385769050887874,0.029495336060143502,0.0015246040528005588,0.11757654044370652,0.048054880657226046,True
1,0.0001,14540.0,1.736401987583944,0.26675481335625584,0.13212738052409786,0.020242835386284536,0.0008319516523551339,0.09710571008805396,0.032085492141196895,1.3008216645679316,0.22268187204208037,0.08863561821166951,0.015569065661803029,0.0005308318597305834,0.08277874475985703,0.024243720927125234,,,,,,,,
2,0.0001,21810.0,1.026232828588586,0.16867850280655364,0.05829453171936648,0.012771837057799947,0.0003614037514405968,0.07843041835801418,0.01935876593738449,0.9125232227180594,0.13477623696940733,0.042208991383985844,0.009620293186312396,0.00025487960133685624,0.0722898755175384,0.01740628462668148,,,,,,,,
3,0.0001,29080.0,0.7319355048342188,0.13352811096570913,0.0368234865609208,0.010072398445149382,0.00022279743276395518,0.06865802761655258,0.013902240365465928,0.7778792737662426,0.12281220629355938,0.03333515277863098,0.008711005821818775,0.00020232000506836088,0.06835527812386423,0.014890882419752234,,,,,,,,
4,0.0001,36350.0,0.5997815858807886,0.11745907422854104,0.02839006686681594,0.008840644960513884,0.000169473658388837,0.06314822879834406,0.011427830380279544,0.71984626885157,0.11586826992956759,0.031105027446728505,0.00812167209204825,0.00017971293152189584,0.06585305730750993,0.013774824828096834,,,,,,,,
5,0.0001,43620.0,0.5263797960295157,0.10638971602036942,0.023468571735701754,0.008000962551178704,0.00013945463718681726,0.05980075677030455,0.01005822448587628,0.6572196641019261,0.11262816253682845,0.028814674844264674,0.007915109224133856,0.00016939606207587308,0.06219151470413772,0.012568099785153218,,,,,,,,
6,0.0001,50890.0,0.4775955992778345,0.10023912112366097,0.02074679959293735,0.007529009818294983,0.0001226234827380833,0.057396393873739675,0.009136975993697921,0.6203992262136521,0.11543914735001322,0.029722376574396532,0.008017121747492199,0.00016644737121512295,0.05964481527824817,0.011813536992785112,,,,,,,,
7,0.0001,58160.0,0.44734487755886665,0.09516107345688163,0.018821550838408987,0.007147271913216933,0.00011097239164258663,0.05585079751894219,0.008570466534409132,0.619734360767549,0.1461529584892623,0.03329511336575626,0.009798804768067984,0.00016694394066506664,0.060334826339901004,0.011728784948035854,,,,,,,,
8,0.0001,65430.0,0.42032846679531194,0.09140452254915156,0.017373570515710812,0.0068618395410227585,0.00010220275025801928,0.05435967797592351,0.008059097925592026,0.5764729509432265,0.09402197799620857,0.021168270938320962,0.006648553946625257,0.00012585590708052538,0.05780095986815326,0.01110609360009811,,,,,,,,
9,0.0001,72700.0,0.3982364018105645,0.08812525344273554,0.01612067470049299,0.006611827499358294,9.462189269821831e-05,0.05315965049738606,0.007642314542201449,0.5720053507890916,0.08979284184807346,0.01883806319320615,0.006334446394853256,0.00011028517960059384,0.05761474432491297,0.011063345751917716,,,,,,,,
10,0.0001,79970.0,0.38058155169362046,0.08531059279819708,0.015079031974770889,0.006400090423990381,8.837230322940055e-05,0.0521437712664909,0.007310050394376953,0.5654150978538478,0.08695758704672003,0.018305713345822528,0.006227018100233827,0.00011039710781342143,0.057515236738174005,0.010942187690160502,0.7056321090511316,0.09309137808268875,0.02062971949074084,0.007324656480816647,0.0001255417636525956,0.06554803690226367,0.013700047791207813,True
11,0.0001,87240.0,0.36724859306171237,0.08373124219067615,0.014521579442067042,0.006277374713083663,8.478309660674899e-05,0.051379713646642775,0.007054540272392913,0.5675540968274846,0.1257348500972027,0.025450984480696243,0.008657396801697378,0.0001364197843554777,0.057065140295159016,0.010842062246935765,,,,,,,,
12,0.0001,94510.0,0.3519240790709428,0.08069739326168295,0.01356011437042245,0.006051852438801851,7.927075196558806e-05,0.05044766977636418,0.006767279294010418,0.5575226821143316,0.1202589448535657,0.02773913828102206,0.008124927573545592,0.00014106789310208863,0.05634577394217638,0.010595670876666194,,,,,,,,
13,0.0001,101780.0,0.3458045164598926,0.0802413626510884,0.013371392308490307,0.006009207020353391,7.772440715277055e-05,0.04999194449701169,0.00664866248302806,0.5391151995855428,0.08957279057281288,0.018801618248939906,0.0064047083766079925,0.00011434888213962599,0.05581827135011785,0.010406271626732064,,,,,,,,
14,0.0001,109050.0,0.3362237891669811,0.07868766902706228,0.012911940987401845,0.005893088040401674,7.50621949498472e-05,0.04936122000827447,0.006466236963591563,0.5422926647658006,0.07860990290179187,0.01699095440455107,0.005581941798115198,0.00010037752622419758,0.056038745070584005,0.010506034207224992,,,,,,,,
15,0.0001,116320.0,0.32380613047524986,0.07613299451645977,0.012076355359058474,0.005706057334044572,7.044174827678136e-05,0.04862548057179409,0.006234595502323822,0.5795074320058861,0.09955984776435942,0.02266444720787433,0.007015008823839573,0.0001302150913816049,0.05898629737114276,0.01113685969596024,,,,,,,,
16,0.0001,123590.0,0.31729730672033907,0.07516469557704616,0.011779478762916287,0.005633513235439317,6.866970959905336e-05,0.04818002742667387,0.00611035655914844,0.5362143901775285,0.10110811717145057,0.019312933467770545,0.0069474619486334915,0.0001055059153549202,0.055532741930563054,0.01033802913419516,,,,,,,,
17,0.0001,130860.0,0.31087869985172956,0.07442798231097088,0.011515745586437904,0.00557355652332969,6.688643891761828e-05,0.04772339237586739,0.005987259085305831,0.5286872077264653,0.09862283420312579,0.018064303502515682,0.0068752979547634496,0.00010176852073763116,0.05497889842135729,0.010212458084478989,,,,,,,,
18,0.0001,138130.0,0.3007295586510967,0.07278885849416736,0.011015936022538702,0.005453999724043637,6.410437040972155e-05,0.04715402774008366,0.0057942724525711425,0.5257055174881182,0.08019382057876147,0.01558527642011234,0.005617567813902371,8.777847961925317e-05,0.054712049056033246,0.010202404821360122,,,,,,,,
19,0.0001,145400.0,0.296105980536843,0.0720407337138131,0.010768783941007947,0.005396883220157559,6.257172691176606e-05,0.04681885367131665,0.005706743931916722,0.5383977641297713,0.08013661477267446,0.015809459215867377,0.005703274254485924,9.116900852048082e-05,0.05583819188808412,0.010451766098278076,,,,,,,,
20,0.0001,152670.0,0.28848071456186763,0.07076904911772201,0.01042494790142683,0.005299432439142508,6.051966534628838e-05,0.046341326168122865,0.00556111533320883,0.5383905831255392,0.07636564851473829,0.01518262299341388,0.005447990044189422,9.097197477188886e-05,0.05547393297374373,0.01046415920264251,0.6541068930249946,0.07901859812964805,0.017150348963579656,0.006173130558664481,0.0001046082062688778,0.06315033541208881,0.012739130881228298,True
21,0.0001,159940.0,0.2853981676118754,0.07013386708153754,0.010251789956417083,0.005256701375221442,5.986756044512898e-05,0.046054321305282336,0.005502927553109156,0.5127409675976579,0.0876382529273574,0.01613282568365111,0.006064881898777243,9.24321430211872e-05,0.05359534473770706,0.009932162838280134,,,,,,,,
22,0.0001,167210.0,0.28017110925662364,0.0696160552028582,0.010037713648582799,0.005213464203112437,5.8303425034047495e-05,0.0457237982350499,0.005402667912160801,0.5438691453468535,0.08651890046278284,0.01940631690795454,0.006094574431800346,0.00010965666522412993,0.05505602153425224,0.010489256568777977,,,,,,,,
23,0.0001,174480.0,0.28358045171343915,0.069749413563681,0.010248255302863541,0.005220643470080951,5.925199540851564e-05,0.04573677664619467,0.005466643928211504,0.5097408080655056,0.07751075226936316,0.01577412608718417,0.005497949176827523,9.142658729024473e-05,0.05322111885056383,0.009879333639566425,,,,,,,,
24,0.0001,181750.0,0.2729331305790279,0.0682356984299828,0.009682239082209736,0.005108194062639474,5.6143383681305166e-05,0.04509232272502938,0.005265017829936387,0.5089838814102879,0.08771905312891876,0.017627706828092223,0.006089808394327709,9.707016874072981e-05,0.05282419941939719,0.00982712349164391,,,,,,,,
25,0.0001,189020.0,0.2692871341553771,0.06780237920332761,0.00955849443415316,0.005077737017070793,5.5577456488131556e-05,0.04485200816195318,0.005194572794424499,0.5791658808238574,0.09442275490623238,0.02072671231484858,0.006592299270800361,0.00011599739609141627,0.058670415651306054,0.01116878337018017,,,,,,,,
26,0.0001,196290.0,0.26361030647764133,0.06640577406037312,0.009194005228901524,0.004973421297930135,5.3304585236117146e-05,0.04450452074053933,0.005088326024974785,0.5247601030365968,0.08452484523769171,0.015087526026987324,0.0060054771494246414,8.985087308135498e-05,0.05469127809674172,0.01019345154019219,,,,,,,,
27,0.0001,203560.0,0.2715085072297912,0.06740309218716693,0.009695226265001832,0.00504522062565063,5.608355244101377e-05,0.044782205803203315,0.005236265619295792,0.5117651493441734,0.08306783985803072,0.0165600184843751,0.005763138509249623,9.174343436361187e-05,0.05337199728054368,0.009904102617195971,,,,,,,,
28,0.0001,210830.0,0.2584211344200659,0.065487343953982,0.008958112824780557,0.004904347596779801,5.19963126425573e-05,0.04409337958980888,0.004989260431905687,0.5122990864597468,0.08434270789619991,0.016225179947277436,0.005829353338344214,8.992259958663429e-05,0.05382984620926404,0.009921478130249382,,,,,,,,
29,0.0001,218100.0,0.2543227290735582,0.06537778342890052,0.008819761370537933,0.004892269429573801,5.115201644901825e-05,0.04380184620308545,0.0049100593540604065,0.5150153769501816,0.07817086689117675,0.013486448611001836,0.005521558777076552,7.96373697129432e-05,0.05354637281211553,0.010030578566783587,,,,,,,,
30,0.0001,225370.0,0.2522288776684465,0.0646219647357768,0.00869377191951888,0.00483587439126942,5.027528122471077e-05,0.0435896442934156,0.004870702114978556,0.5057738434907761,0.07214170751049899,0.013223025614296323,0.005147757141877445,8.030691726862934e-05,0.05325008091635094,0.009851016357529599,0.6154832375417344,0.07638423239151566,0.015211493982132403,0.005987198900062875,9.313177005641922e-05,0.06055744973994398,0.012005434871192041,True
31,0.0001,232640.0,0.2497085001908168,0.06410655389250813,0.008562831342396476,0.004799722484304031,4.9678454909105144e-05,0.04346291376356315,0.004822913376968407,0.5152215223723527,0.07453822729294997,0.01473028273965515,0.005296541858417333,8.678640527155514e-05,0.05325052031014181,0.010009824792653953,,,,,,,,
32,0.0001,239910.0,0.24485131510937513,0.06358392248902602,0.00838154289899069,0.0047583563775612505,4.850279016253517e-05,0.043088014507043804,0.004729395444207672,0.5036928243425729,0.07128488902734795,0.012574990067220918,0.005026015606825094,7.348528472949986e-05,0.05274124804554205,0.009822356685507039,,,,,,,,
33,0.0001,247180.0,0.243501487943777,0.06273335770839444,0.008236497682986541,0.004698090491941246,4.78062355281418e-05,0.042969001145661385,0.004705299805215794,0.5083763510939066,0.10040474456279236,0.017947501623868236,0.006923076745781079,9.681543496210408e-05,0.05291076270639305,0.009808576989400764,,,,,,,,
34,0.0001,254450.0,0.24200242191974908,0.06314216384033369,0.008270160313845087,0.004726190304486331,4.79871067358111e-05,0.04284508461173944,0.00467464523211808,0.4967983177498799,0.07212941655618184,0.012912438797033727,0.005120075181521364,7.609869652479859e-05,0.05266918650147104,0.009677717579056928,,,,,,,,
35,0.0001,261720.0,0.23739770313551126,0.06205930646839241,0.008023067012609072,0.004643899609670488,4.647683845063981e-05,0.04251431227997836,0.004587492722458055,0.5034022830207795,0.07240287715576028,0.012384910771018625,0.005108465927095777,7.253901898680616e-05,0.05304664906125218,0.009820347444995223,,,,,,,,
36,0.0001,268990.0,0.23566677580961226,0.06177017932249022,0.007943447057580504,0.004620967915246729,4.591052491032525e-05,0.04236138511933659,0.0045544665750406515,0.48692858952778684,0.06967163490093939,0.013157207260339214,0.004950731481634884,7.742498582816518e-05,0.05206330877596416,0.009475427645348956,,,,,,,,
37,0.0001,276260.0,0.2345708495219154,0.061551259897029975,0.007884669579268354,0.004607068975951376,4.5685418646767407e-05,0.04224276606818246,0.004533723598852936,0.5049867895449597,0.0823360371840703,0.014189358951013257,0.005686655099230199,7.989399843195325e-05,0.05307743687384626,0.009815948611878931,,,,,,,,
38,0.0001,283530.0,0.2327774433459862,0.0615118183244284,0.007876104343437863,0.004601735604892151,4.555540720844649e-05,0.04206435190917559,0.004498026780050975,0.49331967136086025,0.07348355948065345,0.012308900166420458,0.005174313169096169,7.157449025361189e-05,0.05211997160568627,0.009620215423888795,,,,,,,,
39,0.0001,290800.0,0.23978172464555386,0.0620934073844557,0.008277638414994086,0.004643897104805543,4.780727382485333e-05,0.042305672216382574,0.004630081724611224,0.48275295236987903,0.0738008836980155,0.012512484906824405,0.005228127849422642,7.324830369807927e-05,0.051415890003538106,0.00940480934926109,,,,,,,,
40,0.0001,298070.0,0.22795113690502797,0.060231211062767624,0.00757656323454204,0.004509768005142404,4.4033598287704504e-05,0.04170545220086427,0.004407491473409712,0.49223318578256187,0.0901075233399889,0.014943256528987134,0.006156569638665954,8.077113075253429e-05,0.052388840520432536,0.009545798585071494,0.6106971816431576,0.08728430490963557,0.015999312617873237,0.006688886155894118,9.523157964487075e-05,0.06028308510480522,0.011893957380505686,True
41,0.0001,305340.0,0.22595955947758048,0.06003210252219546,0.007497693221159356,0.0044893151987952466,4.329029994474492e-05,0.04156919382670471,0.004369237325128414,0.4992671191289445,0.08121962972847456,0.014494455850926121,0.0057652371917512,8.583197511803147e-05,0.05244573860887168,0.009695453265560372,,,,,,,,
42,0.0001,312610.0,0.22507832728618601,0.06002674611990988,0.007485516855946428,0.004492108151420011,4.344689086973333e-05,0.041475715120283356,0.004351856208604827,0.4831343631631632,0.07340820456047581,0.012332148356707573,0.005110399768546313,6.983556930266972e-05,0.05131114289993725,0.009416044296129114,,,,,,,,
43,0.0001,319880.0,0.22574429797131929,0.06012500151251854,0.007506189129992171,0.004499600995217008,4.355872718660318e-05,0.041517128453016514,0.0043647621768265615,0.4890488605709871,0.06801382593194284,0.011991545604334105,0.004825684782899683,6.903115698648318e-05,0.0523331051889322,0.009541146299333053,,,,,,,,
44,0.0001,327150.0,0.2219494333709205,0.059461738831949086,0.007345106194050809,0.004447511319394232,4.249871675085309e-05,0.04117555117499729,0.004292086543537382,0.4756753890415983,0.07056343054851795,0.012316224087872276,0.00497513774605107,7.291676004107609e-05,0.05116252588623888,0.009267183299074524,,,,,,,,
45,0.0001,334420.0,0.2214229237748217,0.05894693741433781,0.007271903977642543,0.0044091927685475235,4.208270667838658e-05,0.04116232478975091,0.004283020395943567,0.4820383293093281,0.06871953222350782,0.01283445502137223,0.004828165119349761,7.291136868778166e-05,0.051402143544226446,0.009384077485759116,,,,,,,,
46,0.0001,341690.0,0.2184331084132586,0.05931679882770372,0.007296364158772882,0.004433940731617283,4.204628878647088e-05,0.04088826182133139,0.004222734885089727,0.47614852656061707,0.08461141232902207,0.014101495611046993,0.005813688083785621,7.838432701988269e-05,0.05087881669376625,0.0092409406189914,,,,,,,,
47,0.0001,348960.0,0.21741380493424275,0.058463028957657905,0.007150419521414139,0.004373029199657907,4.1296693525171874e-05,0.04081629576161606,0.004205267708256569,0.4822118483412896,0.06503363083847144,0.010915313319139782,0.0046159706200066646,6.433471185959873e-05,0.051537327843830756,0.009425930700443,,,,,,,,
48,0.0001,356230.0,0.22011820330415247,0.05943410970126889,0.007375690263562684,0.004441469335211335,4.2526937561504763e-05,0.040991225957759926,0.004254850260811802,0.5024938695335749,0.07348084692174314,0.013693288394399232,0.0051840950558021915,7.614033858794193e-05,0.052417213371219115,0.009776011622783508,,,,,,,,
49,0.0001,363500.0,0.21210021622408856,0.05741703531010821,0.006865325712379188,0.0042932011039311,3.967492237917871e-05,0.04039913670114044,0.0041046978102342,0.47669496280799634,0.06689690573999253,0.01196578016930802,0.004722944699294768,6.953754505439101e-05,0.050986488780572214,0.00929458365277377,,,,,,,,
50,0.0001,370770.0,0.21789503288292594,0.05855314947316358,0.007294459491791336,0.004376493411183874,4.200398288290164e-05,0.04066789586134394,0.004212011467822667,0.4710342343873438,0.07258333147181394,0.012354953292137821,0.00510357065569699,7.19324149672196e-05,0.050589783848245834,0.009173585621904118,0.5934300068167979,0.07733305213298572,0.014484199570539534,0.0060372696798865234,8.657560320874264e-05,0.05870640032425998,0.01157891614492517,True
51,0.0001,378040.0,0.20970535485074468,0.057164073016200766,0.006796428321556744,0.004276177827041702,3.938116185671333e-05,0.04029935266088169,0.0040581785305837444,0.48949449796274097,0.07286907809410081,0.013390688425523803,0.005196435225701506,7.705265665394768e-05,0.05187973388665443,0.00952207619074434,,,,,,,,
52,0.0001,385310.0,0.20789935626353967,0.057212371467336286,0.006756514855909208,0.004278060416246628,3.906522126763742e-05,0.040140820105682505,0.004022856828152605,0.4937995267252482,0.08163194956728598,0.013436833555480865,0.005603902724586085,7.315741699864107e-05,0.05277002237555926,0.009607253863395344,,,,,,,,
53,0.0001,392580.0,0.20937292450008352,0.057320426525923805,0.0068228453169926016,0.0042844692276265165,3.936177166875234e-05,0.04014529696322177,0.004051001583661827,0.48642005232421665,0.07031922701759324,0.012058568671730014,0.004995230945642036,7.10616238304108e-05,0.05237965443908286,0.00948722967304973,,,,,,,,
54,0.0001,399850.0,0.2111428949558455,0.057229974897266764,0.006841336131492389,0.004281587758867879,3.96360741859786e-05,0.04022717177742908,0.004086031176487056,0.5189198362107038,0.09470406332544497,0.018137959603727542,0.006376710366442191,9.087454480976644e-05,0.05388104550362267,0.010015637532139524,,,,,,,,
55,0.0001,407120.0,0.2062645344751651,0.056564469263453036,0.006649311470711213,0.004229794231079998,3.845727333345037e-05,0.039855221895224446,0.00399230446008906,0.48575976025340456,0.06660811931482385,0.011705645971558008,0.004716420454016753,6.84001725566176e-05,0.05164932275820725,0.009481082285636927,,,,,,,,
